dataset,seed,K,test_of_val_winner,oracle_test,regret
chess,1,5,0.9992673837421039,0.9994508910070451,0.00018350726494120728
chess,1,10,0.9993195632244533,0.9996734308480577,0.00035386762360445356
chess,1,15,0.9992599272877972,0.9997242446219343,0.00046431733413709875
chess,1,20,0.9992773204485803,0.9997438119278153,0.00046649147923494283
chess,1,30,0.9994451456127791,0.9997658202413692,0.00032067462859008966
chess,1,40,0.9995779332906352,0.9997764633487799,0.00019853005814474134
chess,1,50,0.9996906905775532,0.9997866041266371,9.591354908389249e-05
chess,1,63,0.9997174396262666,0.9997927890592624,7.534943299580821e-05
chess,2,3,0.9982726201237963,0.9984428321217371,0.00017021199794087227
chess,2,5,0.9989300130576169,0.999183985272515,0.0002539722148980905
chess,2,10,0.999018646339473,0.999420270066669,0.0004016237271959877
chess,2,15,0.9990957600411818,0.9994963087121925,0.000400548671010692
chess,2,20,0.9991195839140206,0.9995496220824387,0.00043003816841813425
chess,2,30,0.9992088842015392,0.9995935502906573,0.00038466608911813527
chess,2,40,0.9992607380064533,0.9996182530415454,0.00035751503509207083
chess,2,50,0.9992988907303474,0.9996232045776989,0.0003243138473515428
chess,2,63,0.9993188695117203,0.9996264768290076,0.00030760731728729507
churn,0,3,0.9222170002221941,0.9251757448789572,0.002958744656763046
churn,0,5,0.9265802027784831,0.9314279403673608,0.0048477375888776875
churn,0,10,0.9262377330391908,0.9342391376227357,0.008001404583544924
churn,0,15,0.9264690859361773,0.9355150073535634,0.009045921417386138
churn,0,20,0.9273625571356018,0.9366620773023532,0.009299520166751396
churn,0,30,0.9288111827069578,0.9381455529456576,0.009334370238699763
churn,0,40,0.9306494148891145,0.939207389008803,0.008557974119688505
churn,0,50,0.9335175824233959,0.9400607991577788,0.006543216734382962
churn,0,63,0.9362461909598779,0.9413143304553918,0.005068139495513879
churn,1,3,0.9021070603040212,0.903918537181249,0.0018114768772278245
churn,1,5,0.9068280758841835,0.9100155525192055,0.0031874766350220574
churn,1,10,0.9072027777338999,0.9123924223756193,0.005189644641719449
churn,1,15,0.9070752839338462,0.9128342047482901,0.005758920814443957
churn,1,20,0.9068042567699203,0.9131866473428427,0.006382390572922447
churn,1,30,0.9074577455889556,0.9135707807456785,0.006113035156722901
churn,1,40,0.9073912837442941,0.9137424705535462,0.006351186809252063
churn,1,50,0.9081445838006335,0.9138545434680738,0.005709959667440367
churn,1,63,0.9102732188646863,0.9139879212935906,0.0037147024289043706
churn,2,3,0.9210815491683597,0.9215952802289658,0.0005137310606060375
churn,2,5,0.9251238797718809,0.9261153808511088,0.0009915010792278522
churn,2,10,0.9276259033244456,0.929123517384036,0.0014976140595903686
churn,2,15,0.9285551900816827,0.9301783239165397,0.0016231338348569047
churn,2,20,0.928951178157271,0.9310939219358387,0.002142743778567713
churn,2,30,0.9293248873158965,0.9318745503216522,0.0025496630057557645
churn,2,40,0.9295660339427799,0.9324865890045706,0.002920555061790675
churn,2,50,0.9301361467326902,0.9327091930125273,0.002573046279837121
churn,2,63,0.9304903081090233,0.9328656678517012,0.002375359742677885
clean2,0,3,0.9999966929279913,0.9999968149601688,1.2203217747419615e-07
clean2,0,5,0.9999999145774758,1.0,8.542252416532392e-08
clean2,0,10,0.9999998779678225,1.0,1.2203217747419615e-07
clean2,0,15,0.9999999389839113,1.0,6.101608873709807e-08
clean2,0,20,0.9999998779678225,1.0,1.2203217747419615e-07
clean2,0,30,0.9999999023742581,1.0,9.7625741934948e-08
clean2,0,40,0.9999999389839113,1.0,6.101608873709807e-08
clean2,0,50,0.9999999145774757,1.0,8.542252427634622e-08
clean2,0,63,0.9999997925452985,1.0,2.0745470152849776e-07
clean2,1,3,0.9999305930246689,0.9999335703001581,2.9772754891466136e-06
clean2,1,5,0.9999992222627293,1.0,7.777372706962993e-07
clean2,1,10,0.9999991007412808,1.0,8.992587191558599e-07
clean2,1,15,0.9999988698505285,1.0,1.1301494714510696e-06
clean2,1,20,0.9999997691092477,1.0,2.3089075229520972e-07
clean2,1,30,0.9999991858062949,1.0,8.141937051231452e-07
clean2,1,40,0.9999987118726454,1.0,1.2881273545595207e-06
clean2,1,50,0.9999986754162109,1.0,1.3245837890973888e-06
clean2,1,63,0.9999986997205008,1.0,1.3002794991834321e-06
clean2,2,3,0.9997395650285067,0.9997683280127305,2.8762984223829058e-05
clean2,2,5,0.9999951309161199,0.9999998169517338,4.6860356138767045e-06
clean2,2,10,0.9999960583606685,1.0,3.941639331483948e-06
