dataset,seed,leak,model,val,test,gap,p_single,p_dup,p_cvgap
spambase,2,дубликаты,logit,0.9624772465739093,0.9712980181266857,-0.008820771552776385,,,
spambase,2,дубликаты,__probes__,,,,0.8337331328056399,0.318,0.004566090379286791
spambase,2,предобработка_до_сплита,rf,0.8664337273773407,0.9824764202308556,-0.11604269285351487,,,
spambase,2,предобработка_до_сплита,hgb,0.8553823621717753,0.9853160442947848,-0.1299336821230095,,,
spambase,2,предобработка_до_сплита,logit,0.8563301600585834,0.9782379253153742,-0.12190776525679081,,,
spambase,2,предобработка_до_сплита,__probes__,,,,0.8337331328056399,0.087,-0.12733370483202755
ionosphere,0,нет,rf,0.9731182795698925,0.9868861607142857,-0.013767881144393201,,,
ionosphere,0,нет,hgb,0.9479343520090548,0.96875,-0.020815647990945152,,,
ionosphere,0,нет,logit,0.8885116015846066,0.875,0.013511601584606625,,,
ionosphere,0,нет,__probes__,,,,0.7789115646258503,0.0,-0.015416702173917884
ionosphere,0,признак_из_цели,rf,0.9903791737408036,0.9852120535714286,0.005167120169375039,,,
ionosphere,0,признак_из_цели,hgb,0.9824561403508771,0.8973214285714286,0.08513471177944854,,,
ionosphere,0,признак_из_цели,logit,0.9620826259196378,0.8225446428571428,0.13953798306249499,,,
ionosphere,0,признак_из_цели,__probes__,,,,0.9390589569160998,0.0,-0.002569632450787007
ionosphere,0,дубликаты,rf,0.9771205357142857,0.9868861607142857,-0.009765625,,,
ionosphere,0,дубликаты,hgb,0.953125,0.96875,-0.015625,,,
ionosphere,0,дубликаты,logit,0.9235491071428571,0.875,0.048549107142857095,,,
ionosphere,0,дубликаты,__probes__,,,,0.7789115646258503,0.25,-0.00950221838379739
ionosphere,0,предобработка_до_сплита,rf,0.8058035714285714,0.9899553571428572,-0.1841517857142858,,,
ionosphere,0,предобработка_до_сплита,hgb,0.7767857142857142,0.9693080357142857,-0.1925223214285715,,,
ionosphere,0,предобработка_до_сплита,logit,0.66796875,0.8152901785714286,-0.1473214285714286,,,
ionosphere,0,предобработка_до_сплита,__probes__,,,,0.7789115646258503,0.0,-0.18625921504210974
ionosphere,1,нет,rf,0.9737723214285714,0.956140350877193,0.01763197055137844,,,
ionosphere,1,нет,hgb,0.9698660714285714,0.9632144878324844,0.006651583596086974,,,
ionosphere,1,нет,logit,0.8683035714285714,0.9105829088851161,-0.04227933745654466,,,
ionosphere,1,нет,__probes__,,,,0.7054988662131519,0.0,0.023060448841698777
ionosphere,1,признак_из_цели,rf,0.9986049107142857,0.9179400113186191,0.08066489939566657,,,
