model,score_test,score_val,fit_time,dataset,time_limit
CatBoost_r177,0.973297213622291,0.953405017921147,0.8224050998687744,ionosphere,300
LightGBM_r30,0.973297213622291,0.9713261648745519,0.354630708694458,ionosphere,300
CatBoost_r13,0.9732972136222909,0.9659498207885304,3.287956953048706,ionosphere,300
CatBoost_r128,0.9721362229102167,0.9659498207885304,5.069973945617676,ionosphere,300
CatBoost_r9,0.9713622291021672,0.9659498207885304,5.282672166824341,ionosphere,300
CatBoost_r143,0.9705882352941176,0.956989247311828,1.2938346862792969,ionosphere,300
CatBoost_r163,0.9705882352941176,0.9551971326164875,0.5370297431945801,ionosphere,300
XGBoost_r194,0.9705882352941176,0.96415770609319,0.1975412368774414,ionosphere,300
CatBoost_r198,0.9702012383900929,0.9444444444444444,0.9382247924804688,ionosphere,300
WeightedEnsemble_L2,0.9698142414860681,0.9820788530465949,0.2995774745941162,ionosphere,300
RandomForest_r16,0.9694272445820433,0.931899641577061,1.2812647819519043,ionosphere,300
CatBoost_r167,0.9694272445820432,0.9516129032258065,1.1815800666809082,ionosphere,300
XGBoost_r34,0.9686532507739938,0.9659498207885304,0.22211050987243652,ionosphere,300
XGBoost,0.9682662538699691,0.967741935483871,0.2067728042602539,ionosphere,300
XGBoost_r22,0.968266253869969,0.9659498207885304,0.14115095138549805,ionosphere,300
XGBoost_r89,0.9678792569659442,0.967741935483871,0.15349531173706055,ionosphere,300
XGBoost_r31,0.9674922600619196,0.9659498207885304,0.5416197776794434,ionosphere,300
XGBoost_r33,0.9671052631578948,0.9641577060931901,0.4350168704986572,ionosphere,300
RandomForest_r195,0.9669117647058825,0.9336917562724014,1.2344305515289307,ionosphere,300
RandomForest_r39,0.96671826625387,0.942652329749104,0.514805793762207,ionosphere,300
XGBoost_r95,0.9663312693498453,0.9695340501792115,0.1593782901763916,ionosphere,300
LightGBM_r94,0.9659442724458204,0.9767025089605734,0.15666460990905762,ionosphere,300
XGBoost_r49,0.9659442724458204,0.960573476702509,0.30078625679016113,ionosphere,300
RandomForest_r15,0.965170278637771,0.9408602150537635,1.1497108936309814,ionosphere,300
LightGBM_r130,0.9651702786377708,0.9802867383512545,0.11353468894958496,ionosphere,300
CatBoost_r180,0.9643962848297214,0.953405017921147,4.037703037261963,ionosphere,300
LightGBM_r135,0.9640092879256966,0.978494623655914,0.14840412139892578,ionosphere,300
LightGBM_r96,0.9632352941176471,0.9695340501792116,0.3083527088165283,ionosphere,300
RandomForest_r127,0.9628482972136223,0.9408602150537635,1.0457119941711426,ionosphere,300
ExtraTrees_r4,0.9369195046439628,0.9086021505376345,0.5230660438537598,ionosphere,300
RandomForest_r34,0.8707430340557275,0.8440860215053763,0.4737429618835449,ionosphere,300
LightGBMLarge,0.9899380804953559,0.9498207885304659,0.3699185848236084,ionosphere,900
ExtraTreesEntr,0.9880030959752322,0.967741935483871,0.4691483974456787,ionosphere,900
ExtraTrees_r49,0.9870356037151703,0.9659498207885305,0.5078330039978027,ionosphere,900
ExtraTreesGini,0.9870356037151703,0.9659498207885305,0.5691454410552979,ionosphere,900
ExtraTrees_r42,0.9866486068111455,0.9551971326164875,0.4992077350616455,ionosphere,900
ExtraTrees_r126,0.9864551083591332,0.956989247311828,0.5169374942779541,ionosphere,900
LightGBM_r15,0.9864551083591331,0.9534050179211468,0.2828028202056885,ionosphere,900
LightGBM_r121,0.9856811145510836,0.956989247311828,0.26439952850341797,ionosphere,900
LightGBM_r161,0.9852941176470589,0.960573476702509,0.25439906120300293,ionosphere,900
ExtraTrees_r197,0.9852941176470589,0.9623655913978495,1.2108685970306396,ionosphere,900
