name,family,holdout,cv,test,dataset,seed
hgb_lr0.03_ln31_l21.0,gbdt,0.9413118527042578,0.9369571511291256,0.971749226006192,ionosphere,0
hgb_lr0.03_ln63_l20.0,gbdt,0.9415995397008056,0.9362333526346266,0.9736842105263158,ionosphere,0
hgb_lr0.03_ln63_l21.0,gbdt,0.9413118527042578,0.9369571511291256,0.971749226006192,ionosphere,0
hgb_lr0.1_ln15_l20.0,gbdt,0.9424626006904488,0.9226259409380428,0.9744582043343654,ionosphere,0
hgb_lr0.1_ln15_l21.0,gbdt,0.9533947065592636,0.9214678633468442,0.9760061919504643,ionosphere,0
hgb_lr0.1_ln31_l20.0,gbdt,0.9424626006904488,0.9226259409380428,0.9744582043343654,ionosphere,0
hgb_lr0.1_ln31_l21.0,gbdt,0.9533947065592636,0.9214678633468442,0.9760061919504643,ionosphere,0
hgb_lr0.1_ln63_l20.0,gbdt,0.9424626006904488,0.9226259409380428,0.9744582043343654,ionosphere,0
hgb_lr0.1_ln63_l21.0,gbdt,0.9533947065592636,0.9214678633468442,0.9760061919504643,ionosphere,0
hgb_lr0.3_ln15_l20.0,gbdt,0.9450517836593786,0.9028662420382165,0.9729102167182662,ionosphere,0
hgb_lr0.3_ln15_l21.0,gbdt,0.9588607594936709,0.9322524609148813,0.9709752321981424,ionosphere,0
hgb_lr0.3_ln31_l20.0,gbdt,0.9450517836593786,0.9028662420382165,0.9729102167182662,ionosphere,0
hgb_lr0.3_ln31_l21.0,gbdt,0.9588607594936709,0.9322524609148813,0.9709752321981424,ionosphere,0
hgb_lr0.3_ln63_l20.0,gbdt,0.9450517836593786,0.9028662420382165,0.9729102167182662,ionosphere,0
hgb_lr0.3_ln63_l21.0,gbdt,0.9588607594936709,0.9322524609148813,0.9709752321981424,ionosphere,0
knn1_std,knn,0.8623417721518987,0.8061305732484076,0.7995356037151703,ionosphere,0
knn1_quant,knn,0.7373417721518987,0.7340764331210191,0.7147832817337463,ionosphere,0
knn5_std,knn,0.9227560414269275,0.8894759698899826,0.8806114551083591,ionosphere,0
knn5_quant,knn,0.8224971231300345,0.8674724956572091,0.8333978328173375,ionosphere,0
knn15_std,knn,0.9267836593785961,0.9122756224667052,0.920859133126935,ionosphere,0
knn15_quant,knn,0.821921749136939,0.8665315576143602,0.8825464396284829,ionosphere,0
knn31_std,knn,0.8703970080552359,0.84995657209033,0.8792569659442725,ionosphere,0
knn31_quant,knn,0.7274165707710012,0.8092790966994788,0.884094427244582,ionosphere,0
svc_C0.1,svm,0.9666283084004603,0.9654748118123915,0.9767801857585139,ionosphere,0
svc_C1,svm,0.976409666283084,0.9782860451650262,0.983359133126935,ionosphere,0
svc_C10,svm,0.9720943613348676,0.9730746960046324,0.9825851393188855,ionosphere,0
"mlp_(64,)_a0.0001",mlp,0.9490794016110472,0.9387666473653735,0.9593653250773995,ionosphere,0
"mlp_(64,)_a0.01",mlp,0.9490794016110472,0.9386942675159237,0.9574303405572755,ionosphere,0
"mlp_(128, 64)_a0.0001",mlp,0.9499424626006905,0.95005790387956,0.9636222910216719,ionosphere,0
"mlp_(128, 64)_a0.01",mlp,0.9496547756041427,0.9502750434279097,0.9636222910216719,ionosphere,0
gaussiannb,nb,0.9361334867663981,0.9263173132599883,0.9578173374613003,ionosphere,0
dt_d3,tree,0.8383199079401611,0.8313187608569774,0.9270510835913313,ionosphere,0
dt_d6,tree,0.8633486766398158,0.8506803705848291,0.8560371517027863,ionosphere,0
dt_dNone,tree,0.8875143843498273,0.8638173132599885,0.8227554179566564,ionosphere,0
logreg_C0.01_std,linear,0.8972957422324511,0.8724667052692531,0.9365325077399382,ionosphere,1
logreg_C0.01_quant,linear,0.871403912543153,0.8236103068905617,0.836687306501548,ionosphere,1
logreg_C0.1_std,linear,0.9249136939010357,0.9051823972206138,0.9504643962848297,ionosphere,1
logreg_C0.1_quant,linear,0.8472382048331415,0.8039953676896352,0.8142414860681114,ionosphere,1
logreg_C1_std,linear,0.9119677790563867,0.8941082802547772,0.8854489164086687,ionosphere,1
logreg_C1_quant,linear,0.8222094361334868,0.7807614360162132,0.7972136222910217,ionosphere,1
logreg_C10_std,linear,0.9062140391254316,0.8829617834394905,0.8513931888544892,ionosphere,1
logreg_C10_quant,linear,0.8037974683544303,0.7724377533294731,0.7991486068111455,ionosphere,1
logreg_C100_std,linear,0.9010356731875719,0.8656268094962363,0.8390092879256965,ionosphere,1
logreg_C100_quant,linear,0.7968929804372842,0.7756948465547192,0.8018575851393189,ionosphere,1
rf_dNone_fsqrt,rf,0.9718066743383199,0.9790098436595253,0.965750773993808,ionosphere,1
rf_dNone_f0.3,rf,0.9712313003452244,0.9782136653155762,0.9622678018575851,ionosphere,1
rf_dNone_f0.7,rf,0.9561277330264673,0.9713375796178343,0.9583978328173375,ionosphere,1
rf_d4_fsqrt,rf,0.9646144994246261,0.9728575564562826,0.9647832817337462,ionosphere,1
rf_d4_f0.3,rf,0.966915995397008,0.9722061378112333,0.955108359133127,ionosphere,1
rf_d4_f0.7,rf,0.9513808975834293,0.9696728430804864,0.9651702786377709,ionosphere,1
rf_d8_fsqrt,rf,0.9723820483314154,0.9787927041111755,0.9671052631578947,ionosphere,1
rf_d8_f0.3,rf,0.9712313003452243,0.9777431962941517,0.9616873065015479,ionosphere,1
rf_d8_f0.7,rf,0.9561277330264673,0.971627099015634,0.961687306501548,ionosphere,1
rf_d16_fsqrt,rf,0.9718066743383199,0.9790098436595253,0.965750773993808,ionosphere,1
rf_d16_f0.3,rf,0.9712313003452244,0.9782136653155762,0.9622678018575851,ionosphere,1
rf_d16_f0.7,rf,0.9561277330264673,0.9713375796178343,0.9583978328173375,ionosphere,1
